product_id,content
83412126,"Mình không thể mở nắp này (bấm nút mà nắp k mở ra, đã thử nhiều lần). Giờ mình làm sao đây ạ?"
83412126,"Hàng đẹp nhưng đóng gói rất cẩu thả, hộp đựng bị rách, móp tùm lum, may là cái ly không bị nứt hay vỡ"
83412126,vừa nhận hàng xong chưa kịp dùng thì đã vỡ nắp rồi
83412126,"mình đặt 1 trắng 1 đen nhưng tiki giao cho mình lại là 2 trắng. tiki lại không có phần đổi trả. mong tiki giải quyết giúp mình, mình cần đổi đúng màu mình chọn"
83412126,"Phần nắp của ly bị hư, không đóng lại được, ko biết Tiki có hỗ trợ đổi ko."
83412126,Ly của mình bị lỗi. Gạt sang nút lock hay unlock đều nhấn mở nắp đc. Tiki vui lòng liên lạc với mình để đổi hàng
83412126,trên hiển thị thì để đen . ngta đặt đen r giao xanh đen là s v .
83412126,"bình của mình ko tự động bật nắp lên đc,mình muốn đổi."
83412126,"Lock N Lock hay Lock & Lock 
Phản hồi nhé Shop"
83412126,"Mình mua 2 cái nhưng có 1 cái bị như vày, có đổ lại đc không ạ"
83412126,"Sản phẩm sử dụng lần đầu thì bị đọng nước ở miệng ly khi đựng nước lạnh, không biết có phải do lỗi không, Tiki có đổi ly khác không ?"
83412126,Lỗi Lock/ Unlock. Không khóa bình được.
83412126,vừa mua về chưa xài là bể chốt ngay cái nắp rồi
83412126,Đổi trả lại bình. Vì nắp bình bị bể
83412126,"Sản phầm bị tình trạng như hình, làm sao để mình có thể trả hàng để đổi cái mới được? Hay Tiki có thể gửi mình cái cây khác được không?"
83412126,"1. Buồn Tiki (2 sao là do điều này)
Mặc dù đã nhận lời giải thích từ Tiki nhưng vẫn cảm thấy không vui. Tiki cần rỏ ràng hơn trong các mã khuyến mãi để tránh làm tuột cảm hứng, niềm vui nhỏ khi mua sắm.
2. Hài lòng về ly
Ly đẹp. Màu xinh. Nắp cải tiến hơn đời trước. Để mở nắp thì cần gạc qua vị trí unlock rồi bấm. Bên trong nắp có thêm ron cao su so với đời trước. Thân ly nhám dễ nắm, nhám làm màu hồng thêm đẹp và không bị quê."
73124602,Bị bóp là sao không hiểu kiểu gì
73124602,"tối wa mới nhận được hàng đổi, thấy BP hậu mãi đổi trả tương đối nhanh, tính sáng nay lên web cho 4 sao, nhưng thật đáng tiếc là khi tôi *** thử thì nhiệt vẫn tỏa ra trên phần nắp bình , thật là thất vọng, ko đổi nauwx, tôi yêu cầu trả hàng hoàn tiền"
73124602,"Sản phẩm chất lượng kém , lớp sơn bị bong tróc dù mới sử dụng mấy ngày"
73124602,Sao Ko có kèm theo bình nhựa vậy shop
73124602,Mua về xài 1 ngày nó đã bung nắp như hình
73124602,"Sau thời gian trải nghiệm dùng bình này thì mình nhận thấy SẢN PHẨM RẤT RẤT TỆ LUÔN. Mình dùng qua thử vài loại nhưng mình chưa thấy loại bình giữ nhiệt nào mà kém như loại này, bình giữ nhiệt thời gian kém đã đành, mà lại còn xì rỉ nước lúc mỗi khi bình ở tư thế nghiêng hoặc nằm. Lời khuyên chân thành cho bạn nào có ý định mua loại này thì sáng suốt đừng nên mua dùng."
73124602,Bình mới nhận về đã hỏng quai đeo.
73124602,"Đóng gói OK , giao hàng cũng rất nhanh .Tuy nhiên , về sản phẩm thì rất nhanh tróc sơn và dễ trầy , bằng chứng là mới nhận hàng buổi sáng , buổi chiều đã tróc sơn rồi."
73124602,Bình sử dụng ổn. Không có vấn đề gì trừ việc dây đeo mới dùng được vài ngày đã bị tụt chỉ.
73124602,"Cái màu xấu vô cùng, quai đứt. Khả năng giữ nhiệt ổn, nhưng bình cần để qua đêm là bị hôi dù chỉ để nước lọc. Ko rõ có chắc hàng chính hãng hay ko? nhưng lock&lock sẽ ko bị vậy. Hơn 300k cho bình giữ nhiệt này, mua về cảm thấy hơi hoài nghi."
73124602,"Mua nhà cung cấp Tiki Trading, vận chuyển Tiki Smart Logistics, sản phẩm bị móp như hình. Vì tin tưởng nên không quay video mở hộp."
73124602,"Hàng nhái kém chất lượng đắt ngang hàng thật , bình thì kiểu giống đã qua sử dụng, móp méo và xước. Đổ nước nóng vào sờ vào nắp muốn bỏng tay. Lần cuối cùng tin tưởng tiki trading. Bán hàng dỏm."
73124602,nắp bình bị rò rỉ nước . mình đi học và đi làm để bình vào chung vào trong cặp nước từ trong bình rò rỉ ra là ướt hết tài liệu của mình . mình mong muốn đổi trả sản phẩm khác
73124602,Sản phẩm bị lỗi..............
73124602,"tiki giao hàng gì mà đã dán hàng dễ vỡ rồi, mà cái hộp ko còn từ nào để nói luôn"
73124602,"mua bình mới mà trầy tùm lum, mất thẩm mỹ, tiki training dạo này xuống quá, lo phát triển sản phẩm mak ko chú ý đến chất lượng thì người dùng cũng cũng bỏ thôi, đc cái giao hàng nhanh,"
73124602,miệng bình bị méo kèm theo nắp bình bị hỏng lớp keo đánh giá 1 sao
73124602,Nắp sản phẩm thường bị bung ra khi vặn....Có thể gắn lại được nhưng rất phiền. Chú giao hàng sợ quá😬😬.
73124602,"bạn ơi cho mình đổi sang kiểu khác đc k? vì mình thấy kiểu này khó đóng nắp quá, đóng toàn bị lệch thôi mà mỗi lần ấn đau cả tay mới đc.😪"
73124602,"Vừa mua về đã tung nắp, chưa kịp làm gì"
73124602,"Sản phẩm ko có tem mác gì, bên ngoài bẩn, nắp mở rất khó, xoay mở nắp thì bung luôn cả phần cấu tạo của nắp. Không hài lòng sản phẩm so với tiền của sản phẩm."
73124602,Bình xài chưa tới 2 tháng thì ko giữ nhiệt đc nữa
73124602,"Vừa nhận hàng mở ràng đã bị thất vọng, không đóng nắp bình lại được. Không hiểu sao tiki lại giao sản phẩm lỗi sơ đẳng như này đến người tiêu dùng."
73124602,"Mới dùng chưa được bao lâu mà cái nắp đã hỏng như vậy, lòi cả miếng xốp bên trong. Ko biết có được bảo hành không nữa"
73124602,"Sp ko như mong đợi, check mã vạch ko có"
73124602,"Phần đệm caosu của nắp bị móp nên nắp đóng không được khít, không giữ được nhiệt."
73124602,Đựng khoảng 20-50 mL nước hơi nóng thì ấm ngoài bình. Đựng khoảng nhiêu đó nước khoảng 5-10 oC thì lạnh khắp bình. Mới đựng lần đầu đã như vậy rồi ạ.
73124602,Mình thấy gói hàng cẩn thận bên ngoài mà mở ra bị móp khá lớn tại nắp
73124602,"mình mua ngay trước tết, dùng được đúng vài ngày thì đến mùng 2 thấy bị sút nắp như thế này (ảnh kèm). Tự nó bung ra, k hề va đập hay rơi vỡ, bình nguyên vẹn k có 1 vết xước nào. rất thất vọng, nếu đây thực sự là hàng chính hãng thì Tiki cần có giải thích và đổi trả/bồi hoàn cho mình! thanks!"
73124602,"tôi mua hàng về để dùng hay để sửa cho  các ông , tiki cứ làm ăn thế này thì mất niềm tin quá , sao ko gửi cho keo để sửa  hix hix"
73124602,Dùng được vài lần thì hư nắp đậy rồi
73124602,hàng tốt dùng rất ok . nên mua
73124602,"Chất lượng bình ok. Cho 2 sao vì giao hàng chậm, dự kiến giao 21/12 nhưng 26/12 mới giao, liên hệ khiếu nại 2 lần"
73124602,Hàng giao bị móp. Yêu cầu đổi trả hàng 2 lần vẫn không được. Shiper không thèm đến lấy hàng. Muốn tự mang hàng đến bưu cục thì bảo chưa hỗ trợ. Gọi điện lên chăm sóc khách hàng cũng không giúp gì hơn được. Quá thất vọng và sẽ không bao giờ mua hàng nữa.
73124602,Khi nhận bình giữ nhiệt vô nhà tôi mới mở ra thì thấy nắp bình bị móp. Tôi đã nấu nước nóng đổ vô thì sờ vào vỏ bình thì nóng( chắc bình này đã bị rớt lực mạnh và đã bị nóng ở ngoài)
73124602,nắp trên mới mua dc 2 ngày đã tự động sức ra rồi
73124602,hàng đóng gói không cẩn thận. bên trong ko lót gì. giao hàng bị móp
73124602,Mới xài hư nắp ko ai sửa. Xin chỗ bảo hành đi
73124602,"Hàng giao trễ gần 10 ngày, hộp thì đóng gói quá tệ, hộp sản phẩm rách tệ. chất lượng sản phẩm tạm ổn"
73124602,Kiểm tra sp nhưng lại quên mất xem Miệng bình cuối cùng là thấy bị móp 1 chút. Cảm thấy khó chịu
73124602,mình mua về dùng đc vài ngày thì đáy bình xuất hiện mấy vết loang như thế này.
73124602,"tôi đặt hàng đợt khuyến mãi , có thêm cái bình nhựa . khi giao hàng lại không có . shop làm ăn gì kỳ . đặt với trả hàng ."
73124602,tôi đặt màu bạc nhưng giao màu đen??
73124602,"Bình bị móp phần nắp trong khi cái hộp giấy ngoài thì mới tinh k một vết xước. Hộp bị móp thì còn thông cảm vì lý do vận chuyển 1 tháng mới đến tay mình, đằng này biết hàng bị lỗi vẫn giao cho khách. Hóng hàng về mãi đến lúc nhận thì như vậy, buồn gì đâu… Mong shop sớm phản hồi giúp mình ạ!"
73124602,Hàng bị móp và tróc sơn. Vỏ hộp cũ
73124602,giao hàng nhanh sp y hình
73124602,Bình chất lượng quá kém không đúng với quảng cáo sản phẩm trên Tiki. Đề nghị bộ phận quản lí chất lượng các shop bán hàng trên Tiki xem xét đánh giá shop này. Bình vừa mua mà đã toát mồ hôi lạnh không giữ được đá bên trong bình. Rất chán. Đề nghị shop đổi sản phẩm mới và dùng tốt như quảng cáo cho khách hàng. Thanks!
73124602,Hàng mới mà bị móp méo. Yêu cầu tiki báo shop cho đổi hàng lại. Thất vọng
73124602,Sáng mua chiều sử dụng thì đứt dây
73124602,"giao hàng lỗi . 
xử lý phức tạp mất thời gian của tui.!"
73124602,"Hàng bị lỗi nắp ko kín , bị vênh"
73124602,bên trong dính keo ko rửa sạch được
73124602,"Bình đẹp nhưng bị móp 1 góc như này.
Có phải sale vì sản phẩm móp ko vậy shop?"
73124602,"Hàng ghi xuất sứ Trung Quốc, nhưng mã vạch Việt Nam.????"
73124602,"Bình mua chưa bao lâu đã bong cả nắp, ko biết có phải hàng chính hãng ko nữa, lần sau lên locknlock mua trực tiếp cho chắc ăn."
73124602,"giao hàng nhanh ,nhưng khi mở ra hàng bị bẹp ở góc của nắp bình"
73124602,"Nhận hàng từ chiều tối ngày 29/12 đến hôm nay 31/12 mới mở ra xem.
+ Về ngoại hình sản phẩm khi nhận:
- Vỏ hộp nhăn nheo, nắp hộp bị rách do bóc quá nhiều.
- Nắp bình mở ra có vết xước ở phần nhựa của nắp.
=> chắc chắn hàng cũ
=> Mình có cảm giác như tiki ngày càng giao hàng tồn kho cho khách, ai lại mua sản phẩm mà muốn phải nhận được hàng cũ :("
73124602,Hàng new mà trầy nhiều    Sử lý chậm
73124602,"Thấy sản phẩm khá tốt, tuy nhiên bị xước. Đã gửi *** nhờ TIKI đổi sản phẩm khác."
73124602,Bình của mình bị trầy hết trơn lun
73124602,tổng thể thì ok.nhưng nắp bị móp
73124602,Giao bình móp méo trầy xước tùm. Đề nghị đổi lại cho mình.
73124602,Mình mua hàng ở Tiki rất nhiều lần nhưng lần này tiki làm mình thất vọng .Lịch dự kiến giao thứ 6 nhưng mới thứ 2 đã giao. anh shipper giao hàng thì giao ngay lúc mình đang bận làm việc khách hàng đông nên mình chưa kiểm tra hàng đã vội thanh toán . Khi kiểm tra lại thì trên nắp bình có 1 đường trầy thấy rõ mất thẩm mỹ. Tiki trước khi giao hàng không kiểm tra kỹ. Mình đâu cần giao nhanh .
73124602,Giao hàng không đúng hẹn.
